Date,MNO.L,WSBN.L,CGNR.L,THR.L,SJH.L,EVE.L,VAL.L,ALBA.L
2020-03-11,2.1500000953674316,1.350000023841858,12.0,0.2549999952316284,37.5,1.125,5.625,0.07999999821186066
2020-03-12,2.0,1.350000023841858,11.0,0.23499999940395355,34.0,0.949999988079071,4.75,0.07000000029802322
2020-03-13,2.0,1.350000023841858,11.0,0.18000000715255737,34.0,0.949999988079071,5.625,0.08500000089406967
2020-03-16,1.75,1.25,7.25,0.18000000715255737,34.0,0.925000011920929,4.375,0.06300000101327896
2020-03-17,1.75,1.25,6.400000095367432,0.1599999964237213,34.0,0.824999988079071,4.75,0.054999999701976776
2020-03-18,1.75,1.25,5.5,0.15000000596046448,34.0,0.824999988079071,4.375,0.054999999701976776
2020-03-19,1.75,1.1749999523162842,5.75,0.15000000596046448,34.0,0.824999988079071,5.375,0.05000000074505806
2020-03-20,1.75,1.1749999523162842,7.0,0.1599999964237213,34.0,0.824999988079071,5.625,0.057999998331069946
2020-03-23,1.75,1.1749999523162842,7.0,0.1599999964237213,34.0,0.824999988079071,5.625,0.05299999937415123
2020-03-24,1.75,1.149999976158142,7.25,0.1599999964237213,32.5,0.8500000238418579,5.625,0.05299999937415123
2020-03-25,1.75,1.149999976158142,7.5,0.1599999964237213,32.5,0.8500000238418579,5.625,0.05299999937415123
2020-03-26,1.75,1.149999976158142,7.5,0.1599999964237213,32.5,0.8299999833106995,5.375,0.05299999937415123
2020-03-27,1.75,1.125,7.5,0.1599999964237213,32.0,1.149999976158142,5.375,0.05999999865889549
2020-03-30,1.75,1.125,7.5,0.15000000596046448,32.0,1.5499999523162842,4.375,0.054999999701976776
2020-03-31,1.75,1.125,7.5,0.1899999976158142,32.0,1.274999976158142,5.0,0.054999999701976776
2020-04-01,1.75,1.125,7.5,0.17000000178813934,32.0,1.149999976158142,4.75,0.054999999701976776
2020-04-02,1.75,1.125,6.5,0.17000000178813934,21.0,1.149999976158142,4.75,0.054999999701976776
